Category,Snapshot,bus_factor_norm,gini_repo_load,bipartite_density,knowledge_redundancy,fc_attack_adaptive
Failures,0,0.10660377358490566,0.3957516339869281,0.13176638176638178,0.15915074629815484,0.11774891774891774
Failures,1,0.11215932914046121,0.4047259929612871,0.12573099415204678,0.15222794763066516,0.11720983419096627
Failures,2,0.11215932914046121,0.4047259929612871,0.12573099415204678,0.15222794763066516,0.11720983419096627
Failures,3,0.1076923076923077,0.40748626373626373,0.12812750831326683,0.15838408272508525,0.11910377358490566
Failures,4,0.1076923076923077,0.40748626373626373,0.12726667617553367,0.1517845560019403,0.11910377358490566
Failures,5,0.10555555555555556,0.4059542527702905,0.1263616357968091,0.1517845560019403,0.11910377358490566
Failures,6,0.10555555555555556,0.4059542527702905,0.12722246793454223,0.1524792968314092,0.11910377358490566
Failures,7,0.1043360433604336,0.4059542527702905,0.1269423558897243,0.15241875388444634,0.1185747663551402
Failures,8,0.10555555555555556,0.4059542527702905,0.12722246793454223,0.1524792968314092,0.11910377358490566
Grew,0,0.1213235294117647,0.3599134199134199,0.19370629370629372,0.1339249818563577,0.1421277997364954
Grew,1,0.12142857142857143,0.3634421134421134,0.16843238587424636,0.13891357902424098,0.14025207830517566
Grew,2,0.12142857142857143,0.3634421134421134,0.17175464501045895,0.13487042428628243,0.13955342902711323
Grew,3,0.12532299741602065,0.37395484949832775,0.1733044733044733,0.1354898357269186,0.13560606060606062
Grew,4,0.10960960960960961,0.42325680272108845,0.1476783069547582,0.1428994931356113,0.13819226750261232
Grew,5,0.10960960960960961,0.424175987120827,0.14718205982368693,0.1428994931356113,0.13819226750261232
Grew,6,0.10810810810810811,0.4240904900741757,0.1467247340362291,0.1428994931356113,0.1383838383838384
Grew,7,0.10810810810810811,0.4402941937778794,0.146509263232523,0.14395559964021826,0.15
Grew,8,0.09572072072072071,0.4434050705143882,0.14675621345029238,0.1447805993432802,0.13203463203463203
Healthy,0,0.04362039977582664,0.40416309319611204,0.10048757618377871,0.13621199471385265,0.10557796633746
Healthy,1,0.04604145429833503,0.4074195906432748,0.0830074797592199,0.11079696101713005,0.11354186656431905
Healthy,2,0.044380587484035755,0.4074195906432748,0.0830074797592199,0.10963475929513952,0.11301044634377967
Healthy,3,0.0437192118226601,0.41144707883153264,0.0787225587115938,0.11531789894555877,0.11397925506836398
Healthy,4,0.039282990083905414,0.410343567251462,0.07603235419327373,0.11432285876425585,0.10913224706328155
Healthy,5,0.03721942281264315,0.4081162591460591,0.07530293958315513,0.11145068250157428,0.10627052545155993
Healthy,6,0.034138856923667055,0.4019376456876457,0.07186402218299184,0.11073021239628744,0.1071130579891531
Healthy,7,0.032147742818057455,0.3997685185185185,0.07230280645445922,0.10965825459834887,0.10600490196078433
Healthy,8,0.030976270106704888,0.39876918158567776,0.0702757889324049,0.10892823821806838,0.10464373688532068
Stagnated,0,0.0830270631473438,0.43540694298610316,0.09503944938727547,0.040085299811900496,0.11676378305692514
Stagnated,1,0.0830270631473438,0.4352346660535338,0.09503944938727547,0.039803840926185025,0.11676378305692514
Stagnated,2,0.0830270631473438,0.43534113309819356,0.09503944938727547,0.03977620120110818,0.11676378305692514
Stagnated,3,0.08424657534246575,0.43592714742831873,0.09503944938727547,0.0390630092348125,0.11676378305692514
Stagnated,4,0.06652929055048573,0.5216526305235982,0.07088550057537399,0.0526030597391463,0.1140534262485482
Stagnated,5,0.06652929055048573,0.5222091619052394,0.07088550057537399,0.052558820599078404,0.1140534262485482
Stagnated,6,0.06652929055048573,0.525508293645389,0.07088550057537399,0.052549123965537986,0.1140534262485482
Stagnated,7,0.06652929055048573,0.5250185913841969,0.07113550057537399,0.053774500146572035,0.1140534262485482
Stagnated,8,0.06652929055048573,0.5242100876987881,0.07113550057537399,0.05353172423014964,0.1140534262485482
