Project,Category,Initial_Devs,Final_Devs,Dev_Change_%,Total_Dev_Departures,Total_Dev_Arrivals,Max_Dev_Loss_Single_Period,Periods_Dev_Loss,Initial_Repos,Final_Repos,Repo_Change_%,Total_Repo_Departures,Total_Repo_Arrivals,Max_Repo_Loss_Single_Period,Periods_Repo_Loss
Panoptic,Failures,41,41,0.0,-5.0,5.0,-4.0,2,8,10,25.0,0.0,2.0,0.0,0
1inch,Failures,124,137,10.483870967741936,-2.0,15.0,-2.0,1,81,89,9.876543209876543,0.0,8.0,0.0,0
Bancor,Failures,71,71,0.0,-1.0,1.0,-1.0,1,34,35,2.941176470588235,0.0,1.0,0.0,0
Beanstalk,Failures,54,53,-1.8518518518518516,-1.0,0.0,-1.0,1,38,38,0.0,0.0,0.0,0.0,0
Cream Finance,Failures,18,17,-5.555555555555555,-1.0,0.0,-1.0,1,15,15,0.0,0.0,0.0,0.0,0
Rari Capital,Failures,81,81,0.0,-1.0,1.0,-1.0,1,52,52,0.0,0.0,0.0,0.0,0
Abracadabra,Failures,26,28,7.6923076923076925,0.0,2.0,0.0,0,16,19,18.75,0.0,3.0,0.0,0
Crema Finance,Failures,4,4,0.0,0.0,0.0,0.0,0,3,3,0.0,0.0,0.0,0.0,0
SuperRare,Failures,8,8,0.0,0.0,0.0,0.0,0,4,5,25.0,0.0,1.0,0.0,0
UniLend,Failures,7,8,14.285714285714285,0.0,1.0,0.0,0,10,10,0.0,0.0,0.0,0.0,0
Maple,Grew,35,38,8.571428571428571,-4.0,7.0,-4.0,1,61,62,1.639344262295082,-1.0,2.0,-1.0,1
Summer.fi,Grew,81,85,4.938271604938271,-1.0,5.0,-1.0,1,29,31,6.896551724137931,0.0,2.0,0.0,0
Element Finance,Grew,4,38,850.0,0.0,34.0,0.0,0,1,32,3100.0,0.0,31.0,0.0,0
Ethena,Grew,33,54,63.63636363636363,0.0,21.0,0.0,0,5,7,40.0,0.0,2.0,0.0,0
Euler Finance,Grew,56,95,69.64285714285714,0.0,39.0,2.0,0,36,48,33.33333333333333,0.0,12.0,0.0,0
M0 Labs,Grew,5,7,40.0,0.0,2.0,0.0,0,1,2,100.0,0.0,1.0,0.0,0
Ondo Finance,Grew,5,5,0.0,0.0,0.0,0.0,0,3,3,0.0,0.0,0.0,0.0,0
Revert Finance,Grew,4,4,0.0,0.0,0.0,0.0,0,13,14,7.6923076923076925,0.0,1.0,0.0,0
Tornado Cash,Grew,28,28,0.0,0.0,0.0,0.0,0,38,38,0.0,0.0,0.0,0.0,0
ether.fi,Grew,26,30,15.384615384615385,0.0,4.0,0.0,0,10,12,20.0,0.0,2.0,0.0,0
Frax,Healthy,429,871,103.03030303030303,-7.0,449.0,-3.0,3,27,33,22.22222222222222,0.0,6.0,0.0,0
Origin Protocol,Healthy,225,228,1.3333333333333335,-5.0,8.0,-2.0,3,71,73,2.8169014084507045,0.0,2.0,0.0,0
Curve,Healthy,102,115,12.745098039215685,-1.0,14.0,-1.0,1,80,88,10.0,0.0,8.0,0.0,0
Symbiotic,Healthy,395,437,10.632911392405063,-1.0,43.0,-1.0,1,9,17,88.88888888888889,0.0,8.0,0.0,0
Across Protocol,Healthy,49,92,87.75510204081633,0.0,43.0,0.0,0,20,21,5.0,0.0,1.0,0.0,0
Aura Finance,Healthy,16,16,0.0,0.0,0.0,0.0,0,9,9,0.0,0.0,0.0,0.0,0
Pendle,Healthy,54,70,29.629629629629626,0.0,16.0,0.0,0,25,27,8.0,0.0,2.0,0.0,0
Renzo,Healthy,2,2,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0
Silo Finance,Healthy,8,13,62.5,0.0,5.0,0.0,0,7,8,14.285714285714285,0.0,1.0,0.0,0
Uniswap,Healthy,1127,1773,57.32031943212067,0.0,646.0,2.0,0,269,746,177.32342007434946,0.0,477.0,1.0,0
EOS,Stagnated,2961,3165,6.889564336372847,-2.0,206.0,-2.0,1,1397,1513,8.303507516105942,0.0,116.0,1.0,0
yearn.finance,Stagnated,334,344,2.9940119760479043,-2.0,12.0,-1.0,2,135,142,5.185185185185185,0.0,7.0,0.0,0
Venus,Stagnated,42,48,14.285714285714285,-1.0,7.0,-1.0,1,20,26,30.0,-1.0,7.0,-1.0,1
Acala,Stagnated,788,827,4.949238578680204,0.0,39.0,0.0,0,431,452,4.872389791183294,0.0,21.0,0.0,0
Akropolis,Stagnated,2,44,2100.0,0.0,42.0,0.0,0,2,79,3850.0,0.0,77.0,0.0,0
Horizon Protocol,Stagnated,9,9,0.0,0.0,0.0,0.0,0,10,10,0.0,0.0,0.0,0.0,0
Index Coop,Stagnated,1,1,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0
Opium Network,Stagnated,21,21,0.0,0.0,0.0,0.0,0,25,25,0.0,0.0,0.0,0.0,0
Opyn,Stagnated,74,80,8.108108108108109,0.0,6.0,0.0,0,23,25,8.695652173913043,0.0,2.0,0.0,0
Ronin,Stagnated,775,1264,63.09677419354839,0.0,489.0,4.0,0,271,320,18.081180811808117,0.0,49.0,1.0,0
